Rank,Title,Artist,Image
1,Rain On Me,Lady Gaga & Ariana Grande,https://charts-static.billboard.com/img/2020/05/lady-gaga-b8x-rain-on-me-n1e-155x155.jpg
2,Savage,Megan Thee Stallion Featuring Beyonce,https://charts-static.billboard.com/img/2020/03/megan-thee-stallion-z0z-savage-7q2-155x155.jpg
3,Rockstar,DaBaby Featuring Roddy Ricch,https://charts-static.billboard.com/img/2017/01/dababy-sfn-155x155.jpg
4,Blinding Lights,The Weeknd,https://charts-static.billboard.com/img/2019/12/the-weeknd-nsd-blinding-lights-gfd-155x155.jpg
5,Say So,Doja Cat Featuring Nicki Minaj,https://charts-static.billboard.com/img/2019/12/doja-cat-cd8-say-so-z1g-155x155.jpg
6,Toosie Slide,Drake,https://charts-static.billboard.com/img/2020/04/drake-p3d-toosie-slide-e5w-155x155.jpg
7,Don't Start Now,Dua Lipa,https://charts-static.billboard.com/img/2019/11/dua-lipa-eqf-dont-start-now-q9p-155x155.jpg
8,The Box,Roddy Ricch,https://charts-static.billboard.com/img/2019/12/roddy-ricch-eqp-the-box-2k7-155x155.jpg
9,Intentions,Justin Bieber Featuring Quavo,https://charts-static.billboard.com/img/2020/02/justin-bieber-09y-intentions-w81-155x155.jpg
10,Life Is Good,Future Featuring Drake,https://charts-static.billboard.com/img/2020/01/future-tsu-life-is-good-rko-155x155.jpg
11,Circles,Post Malone,https://charts-static.billboard.com/img/2019/09/post-malone-tp6-circles-sb0-155x155.jpg
12,Adore You,Harry Styles,https://charts-static.billboard.com/img/2019/12/harry-styles-psx-adore-you-n45-155x155.jpg
13,The Bones,Maren Morris,https://charts-static.billboard.com/img/2019/03/maren-morris-knd-the-bones-u43-155x155.jpg
14,Roses,SAINt JHN,https://charts-static.billboard.com/img/2019/10/saint-jhn-000-roses-n07-155x155.jpg
15,Stuck With U,Ariana Grande & Justin Bieber,https://charts-static.billboard.com/img/2020/05/ariana-grande-and-justin-bieber-000-stuck-with-u-yqg-155x155.jpg
16,Blueberry Faygo,Lil Mosey,https://charts-static.billboard.com/img/2020/02/lil-mosey-hjw-blueberry-faygo-e1e-155x155.jpg
17,The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",https://charts-static.billboard.com/img/2020/05/the-scotts-000-the-scotts-huk-155x155.jpg
18,Chasin' You,Morgan Wallen,https://charts-static.billboard.com/img/2016/08/morgan-wallen-ur7-87x87.jpg
19,I Hope,Gabby Barrett,https://charts-static.billboard.com/img/2019/03/gabby-barrett-l86-i-hope-mnv-155x155.jpg
20,Does To Me,Luke Combs Featuring Eric Church,https://charts-static.billboard.com/img/2019/11/luke-combs-m9g-does-to-me-9ea-155x155.jpg
21,Falling,Trevor Daniel,https://charts-static.billboard.com/img/2019/11/trevor-daniel-000-falling-gtf-155x155.jpg
22,Gooba,6ix9ine,https://charts-static.billboard.com/img/2020/05/6ix9ine-6ly-gooba-dfc-155x155.jpg
23,High Fashion,Roddy Ricch Featuring Mustard,https://charts-static.billboard.com/img/2018/11/roddy-ricch-eqp-155x155.jpg
24,Sunday Best,Surfaces,https://charts-static.billboard.com/img/2019/08/surfaces-uoi-155x155.jpg
25,Whats Poppin,Jack Harlow,https://charts-static.billboard.com/img/2020/02/jack-harlow-ft9-whats-poppin-ddu-155x155.jpg
26,Death Bed,Powfu Featuring beabadoobee,https://charts-static.billboard.com/img/2020/03/powfu-000-death-bed-ne9-155x155.jpg
27,Party Girl,StaySolidRocky,https://charts-static.billboard.com/img/2020/05/staysolidrocky-000-party-girl-8dm-155x155.jpg
28,Nobody But You,Blake Shelton Duet With Gwen Stefani,https://charts-static.billboard.com/img/2019/12/blake-shelton-m3d-nobody-but-you-29g-155x155.jpg
29,I Hope You're Happy Now,Carly Pearce & Lee Brice,https://charts-static.billboard.com/img/2019/10/carly-pearce-rdp-i-hope-youre-happy-now-1s8-155x155.jpg
30,Before You Go,Lewis Capaldi,https://charts-static.billboard.com/img/2017/04/lewis-capaldi-s2h-155x155.jpg
31,My Oh My,Camila Cabello Featuring DaBaby,https://charts-static.billboard.com/img/2015/12/camila-cabello-qq5-155x155.jpg
32,In Your Eyes,The Weeknd,https://charts-static.billboard.com/img/2011/11/the-weeknd-nsd-155x155.jpg
33,After A Few,Travis Denning,https://charts-static.billboard.com/img/2019/02/travis-denning-000-after-a-few-8ld-155x155.jpg
34,Break My Heart,Dua Lipa,https://charts-static.billboard.com/img/2020/04/dua-lipa-eqf-break-my-heart-641-155x155.jpg
35,Everything I Wanted,Billie Eilish,https://charts-static.billboard.com/img/2019/11/billie-eilish-acb-everything-i-wanted-mj1-155x155.jpg
36,Memories,Maroon 5,https://charts-static.billboard.com/img/2019/09/maroon-5-vhb-memories-cnj-155x155.jpg
37,Hard To Forget,Sam Hunt,https://charts-static.billboard.com/img/2014/06/sam-hunt-2mf-155x155.jpg
38,Dollaz On My Head,Gunna Featuring Young Thug,https://charts-static.billboard.com/img/2016/09/gunna-j8i-155x155.jpg
39,Be Kind,Marshmello & Halsey,https://charts-static.billboard.com/img/2020/05/marshmello-000-be-kind-wth-155x155.jpg
40,Beer Can't Fix,Thomas Rhett Featuring Jon Pardi,https://charts-static.billboard.com/img/2019/06/thomas-rhett-2w0-beer-cant-fix-1ze-155x155.jpg
41,Cooler Than A Bitch,Gunna Featuring Roddy Ricch,https://charts-static.billboard.com/img/2016/09/gunna-j8i-155x155.jpg
42,RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,https://charts-static.billboard.com/img/2019/10/the-black-eyed-peas-kvc-ritmo-bad-boys-for-life-2fu-155x155.jpg
43,Hot Girl Bummer,blackbear,https://charts-static.billboard.com/img/2019/09/blackbear-nbm-hot-girl-bummer-nvt-155x155.jpg
44,Supalonely,BENEE Featuring Gus Dapperton,https://www.billboard.com/assets/1591297523/images/charts/bb-placeholder-new.jpg
45,Watermelon Sugar,Harry Styles,https://charts-static.billboard.com/img/2019/11/harry-styles-psx-watermelon-sugar-t5h-155x155.jpg
46,Walk Em Down,NLE Choppa Featuring Roddy Ricch,https://charts-static.billboard.com/img/2020/04/nle-choppa-7eu-walk-em-down-7lm-155x155.jpg
47,One Margarita,Luke Bryan,https://charts-static.billboard.com/img/2007/02/luke-bryan-3xn.jpg
48,Dance Monkey,Tones And I,https://charts-static.billboard.com/img/2019/08/tones-and-i-e8g-dance-monkey-945-155x155.jpg
49,Flex,Polo G Featuring Juice WRLD,https://charts-static.billboard.com/img/2019/03/polo-g-g7p-155x155.jpg
50,Sum 2 Prove,Lil Baby,https://charts-static.billboard.com/img/2017/11/lil-baby-nwx-155x155.jpg
51,Bluebird,Miranda Lambert,https://charts-static.billboard.com/img/2019/11/miranda-lambert-mzw-bluebird-ueu-155x155.jpg
52,Go Crazy,Chris Brown & Young Thug,https://charts-static.billboard.com/img/2005/07/chris-brown-abf-155x155.jpg
53,Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,https://charts-static.billboard.com/img/2019/08/diplo-i1q-heartless-sm0-155x155.jpg
54,Emotionally Scarred,Lil Baby,https://charts-static.billboard.com/img/2017/11/lil-baby-nwx-155x155.jpg
55,Top Floor,Gunna Featuring Travis Scott,https://charts-static.billboard.com/img/2016/09/gunna-j8i-155x155.jpg
56,Dior,Pop Smoke,https://charts-static.billboard.com/img/2019/08/pop-smoke-5gi-155x155.jpg
57,Wunna,Gunna,https://charts-static.billboard.com/img/2020/06/gunna-idr-wunna-w9x-155x155.jpg
58,Chicago Freestyle,Drake Featuring Giveon,https://charts-static.billboard.com/img/2009/04/drake-p3d-155x155.jpg
59,Blindfold,Gunna Featuring Lil Baby,https://charts-static.billboard.com/img/2016/09/gunna-j8i-155x155.jpg
60,We Paid,Lil Baby & 42 Dugg,https://charts-static.billboard.com/img/2017/11/lil-baby-nwx-155x155.jpg
61,Level Of Concern,twenty one pilots,https://charts-static.billboard.com/img/2020/04/twenty-one-pilots-1st-level-of-concern-8s6-155x155.jpg
62,Need It,Migos Featuring YoungBoy Never Broke Again,https://charts-static.billboard.com/img/2020/06/migos-33z-need-it-mz7-155x155.jpg
63,After Party,Don Toliver,https://charts-static.billboard.com/img/2019/12/don-toliver-ycl-155x155.jpg
64,I Love My Country,Florida Georgia Line,https://charts-static.billboard.com/img/2020/04/florida-georgia-line-wbf-i-love-my-country-n7j-155x155.jpg
65,SkyBox,Gunna,https://charts-static.billboard.com/img/2016/09/gunna-j8i-155x155.jpg
